ticker,trailing_pe,forward_pe,peg_ratio,earnings_growth_5y,price_to_book,trailing_eps,market_cap_musd,revenue_ttm_musd,net_income_ttm_musd
BAC,13.87346,13.95626,0.9121738562091504,0.153,1.37121,3.79934,376650.3,138566.0,29055.0
BALL,18.74751,17.35315,1.3663897637795277,0.127,3.03998,3.31244,16528.11,13161.0,912.0
BARC,,10.05474,0.4839826714801444,0.20775,,,59459.47,,
BAS,,20.32394,,-0.0335,,,47821.34,,
BATS,,12.62311,3.5861107954545455,0.0352,,,94180.44,,
BAX,-99999.99,7.31903,0.5220420827389444,0.1402,1.45163,-1.7549,8931.169,11244.0,-900.0
BBOX,,17.82319,5.37652790346908,0.03315,,,4053.183,,
BBVA,,10.72406,1.1188377673448096,0.09585,,,109669.3,,
BBY,12.75723,10.20382,2.082412244897959,0.049,4.55237,5.05831,13494.03,41691.0,1069.0
BDX,25.41309,10.45222,1.7134786885245905,0.061,1.75089,6.11732,44265.96,21924.0,1757.0
BEN,23.04224,9.97292,1.5594870992963257,0.0639499999999999,1.07295,1.0867,13039.92,8846.2,562.7
BEZ,,11.75796,,-0.0443499999999999,,,7625.216,,
BG,22.63677,15.80117,3.5508247191011235,0.0445,1.49532,5.43187,23793.88,70329.0,819.0
BGEO,,8.03193,,-999.9999,,,4615.21,,
BIDU,56.24889,13.7355,,-0.08555,0.95435,1.92413,38484.99,18894.96,682.5834
BIIB,20.11261,11.86746,22.252878304894057,0.005333,1.42314,8.80592,25992.4,9890.6,1292.9
BK,17.3485,17.4438,,-999.9999,2.24165,7.41159,88492.23,25626.0,5306.0
BKG,,10.32464,,-0.0069999999999999,,,3236.981,,
BKNG,26.57613,0.7887,0.0472275449101796,0.1669999999999999,-99999.99,6.64506,139837.8,26917.0,5404.0
BKR,24.34577,25.40458,2.366893686005236,0.107333,3.32354,2.60497,62897.25,27733.0,2588.0
BLDR,21.88525,12.08927,,-0.1205,2.16507,3.89349,9425.011,15190.64,435.199
BLK,28.90129,21.17344,1.6998587026332692,0.1245599999999999,2.77914,34.65659,155793.5,24216.0,5553.0
BLND,,13.33006,,-0.1169999999999999,,,3801.602,,
BMY,17.19154,9.1248,0.1204435058078141,0.7576,6.48044,3.45926,121422.0,48194.0,7054.0
BNP,,8.74746,0.7457340153452685,0.1173,,,98582.24,,
BNZL,,13.38203,17.84270666666667,0.0075,,,7567.095,,
BR,17.13355,20.02018,,-999.9999,6.27934,9.03432,18071.53,7180.4,1067.3
BRBY,,54.12349,,-999.9999,,,4091.564,,
BRO,19.91462,15.80682,1.64654375,0.096,1.7977,3.37089,22794.61,5902.0,1041.0
BSX,32.26222,20.61149,1.4006462485644584,0.147157,3.82852,1.93911,92975.12,20075.0,2898.0
BT.A,,12.29106,,-999.9999,,,21475.28,,
BTRW,,9.95974,0.5998036735922915,0.16605,,,3712.612,,
BX,30.2271,21.90451,0.998077615313464,0.219467,10.09998,3.86739,138850.0,14450.26,3019.214
BXP,30.19302,34.64026,28.866883333333337,0.012,1.61654,1.73815,8324.856,3482.279,276.792
C,17.92173,16.85762,0.6243562962962963,0.27,1.13557,6.97031,214226.2,142864.0,13024.0
CABK,,13.09701,,-999.9999,,,73968.2,,
CAG,-99999.99,5.922,,-0.060633,0.91127,-0.09231,7439.698,11181.3,-43.3
CAH,31.03741,29.32105,2.1048851399856425,0.1393,-99999.99,6.9529,50781.2,244673.0,1662.0
CARR,36.62606,23.26884,2.6262799097065463,0.0886,3.721,1.67804,51345.73,21747.0,1455.0
CAT,41.80641,40.79541,7.785383587786258,0.0524,17.17861,18.82654,366213.7,67589.0,8884.0
CB,12.94378,13.88233,2.352937288135593,0.059,1.76544,25.72201,129343.6,59402.0,10310.0
CBOE,28.28202,28.66031,2.127193041051562,0.134733,6.00437,10.42429,30880.12,4714.2,1094.8
CBRE,36.99241,22.48848,,-999.9999,4.74543,3.85106,41760.83,40551.0,1157.0
CCEP,19.64276,20.29542,2.555036319917414,0.079433,4.79697,4.98453,43970.51,24452.19,2271.956
CCH,,19.00489,1.466426697530864,0.1296,,,16013.05,,
CCI,34.31641,105.76665,,-999.9999,-99999.99,2.5227,37776.32,4264.0,1103.0
CCL,12.31489,10.98749,0.8517434108527131,0.129,2.96004,2.26149,38490.83,26976.0,3097.0
CDNS,69.26427,39.81496,2.7813454418442194,0.14315,13.95245,4.05707,77523.77,5296.759,1108.888
CDW,15.68496,12.81805,1.8443237410071944,0.0695,6.29348,8.08099,16349.94,22424.1,1066.6
CEG,37.89815,30.20358,,-999.9999,6.02315,7.39482,101533.1,25533.0,2319.0
CF,14.87069,15.01173,,-0.083,4.24601,8.99622,20550.81,7084.0,1455.0
CFG,16.8037,16.93162,0.7298112068965517,0.2319999999999999,1.15211,3.86641,27611.85,9663.0,1688.0
CHD,31.93623,27.49943,5.514554715543346,0.049867,5.68363,3.011,22777.91,6203.2,736.8
CHRW,35.22271,34.11779,2.212094039537583,0.1542329999999999,10.92117,4.83211,20058.14,16232.76,587.081
CHTR,6.14919,6.19913,0.6887922222222223,0.09,1.7608,36.30234,31515.25,54774.0,4987.0
CI,12.58096,9.39383,1.155452644526445,0.0813,1.75872,22.13265,73416.34,274900.0,5957.0
CIEN,309.5066,91.31583,2.1113486705202313,0.4325,24.68924,1.5747,68914.77,5124.289,229.049
CINF,10.80712,22.58109,4.260583018867925,0.053,1.60127,15.17055,25524.75,11587.0,2393.0
CL,32.82216,23.38234,6.169482849604221,0.0379,1276.642,2.6214,69030.05,20382.0,2131.0
CLX,17.58425,18.14993,,-0.03095,-99999.99,6.12025,13012.54,6758.0,755.0
CMCSA,5.26631,6.72335,8.100421686746989,0.0083,1.05297,5.37568,101855.0,123708.0,19998.0
CME,26.78618,27.07013,3.2575367027677493,0.0831,3.73507,11.15986,108453.3,11951.0,4021.0
CMG,29.95442,29.65529,3.3496312109608843,0.088533,15.77799,1.14307,44594.96,11925.6,1535.761
CMI,29.78708,26.4213,2.312586433260394,0.11425,6.83276,20.51191,84473.9,33670.0,2843.0
CMS,23.63564,22.25687,3.048886301369863,0.073,2.74592,3.38218,24621.25,8539.0,1019.0
CNA,,18.4678,,-999.9999,,,9843.662,,
CNC,-99999.99,18.42854,1.2285693333333334,0.15,0.92545,-13.62218,18466.06,194777.0,-6674.0
CNP,27.49824,25.02268,2.7802977777777778,0.09,2.58326,1.60483,28868.22,9357.0,1052.0
COF,81.6817,9.83629,0.463174127807051,0.212367,1.12492,2.38401,123180.6,58696.0,1770.0
COIN,38.7481,21.52353,,-999.9999,3.06019,4.36202,44633.98,7181.325,1260.327
COO,35.37133,15.81778,1.4511724770642205,0.109,1.66693,2.02028,13942.88,4151.8,401.4
COP,19.49589,18.9802,,-0.0016669999999999,2.34577,6.33313,150491.8,58944.0,7961.0
COR,38.78546,18.29654,1.7375631528964863,0.1052999999999999,32.86936,8.31394,62728.36,325777.8,1625.216
COST,53.67134,50.6565,3.9575390625,0.128,14.27068,19.2287,457862.7,286265.0,8549.0
CPAY,20.36045,14.33046,1.0462709995838415,0.136967,5.39613,15.05713,20862.18,4528.403,1069.826
CPB,11.31213,6.74956,,-0.029767,1.54692,1.83785,6198.465,10037.0,550.0
CPRT,20.69714,22.8194,6.5198285714285715,0.035,3.24638,1.59394,31779.54,4613.517,1557.409
CPT,28.51189,41.32787,22.959927777777775,0.018,2.45862,3.53677,10560.62,1573.544,383.63
CRDA,,19.32794,2.7710308243727604,0.0697499999999999,,,4059.202,,
CRH,20.79492,20.53447,1.851620378719567,0.1109,3.21738,5.55424,77177.23,37447.0,3753.0
CRL,-99999.99,16.89053,3.624577253218883,0.0466,2.73019,-2.95626,8661.981,4015.382,-144.338
CRM,21.86793,14.52559,0.9761821236559138,0.1488,2.6837,7.81281,157694.5,41525.0,7457.0
CRWD,-99999.99,106.18812,6.280533491054266,0.1690749999999999,22.58096,-0.65462,99933.35,4812.005,-162.502
CSCO,29.95681,22.44683,3.222017598001923,0.069667,6.88218,2.77633,328512.6,59054.0,11076.0
CSGP,3002.414,44.33357,1.273221424468696,0.3482,1.87137,0.01243,15666.69,3247.0,7.0
CSX,27.54173,25.80155,4.333991231753817,0.0595329999999999,6.00771,1.54275,79031.1,14092.0,2889.0
CTAS,36.74997,46.58659,3.756983064516129,0.124,14.54825,4.73878,69675.17,11027.21,1930.821
CTEC,,16.7916,1.1937128111070825,0.140667,,,4365.557,,
CTRA,14.9166,15.05193,0.4294416547788873,0.3505,1.71484,2.24448,25423.13,7645.0,1716.0
CTSH,11.0542,11.27168,1.2094077253218884,0.0932,1.88856,5.35543,28312.22,21108.0,2620.0
CTVA,48.32991,25.24395,1.8653210968499925,0.135333,2.32629,1.72895,56098.55,17401.0,1193.0
CVNA,42.75825,63.66823,0.790762342420667,0.80515,20.74443,7.64601,71631.42,20322.0,1407.0
CVS,57.65349,11.85136,0.7674111103196855,0.154433,1.33227,1.36748,101041.7,402067.0,1768.0
CVX,28.64318,25.98594,5.774653333333333,0.045,2.03624,6.64591,379177.8,184432.0,12299.0
D,18.58972,18.727,1.7501869158878507,0.107,2.006,3.44868,56350.43,16506.0,2949.0
DAL,9.90842,11.54475,1.4222051124114568,0.081175,2.18708,6.84569,44563.91,65178.0,4477.0
DASH,72.68119,70.9368,0.4767258064516129,1.4880000000000002,6.68921,2.12641,67140.59,13717.0,935.0
DB1,,22.95944,3.461239503716099,0.066333,,,47357.46,,
DCC,,11.6764,,-999.9999,,,4331.003,,
DD,-99999.99,23.97008,,-999.9999,1.39407,-1.67206,19391.17,9395.0,-691.0
DDOG,330.3425,53.61342,4.662036521739131,0.115,10.29372,0.3299,38562.72,3427.158,107.741
DE,34.84305,36.55031,2.7141252125613553,0.1346669999999999,6.34701,17.73668,166926.3,46786.0,4814.0
DECK,15.50925,17.21936,3.421087556871238,0.0503329999999999,5.98733,7.07771,15581.85,5374.707,1039.911
DELL,20.7947,18.23462,1.1432363636363636,0.1595,-99999.99,8.72626,117177.5,113538.0,5936.0
DG,17.48487,18.46854,2.05206,0.09,3.09818,6.84878,26372.1,42724.37,1512.311
DGE,,11.92114,3.748786163522012,0.0318,,,32120.35,,
DGX,22.62517,20.16637,2.7512100954979535,0.0733,3.0349,8.74336,21895.62,11035.0,988.0
DHI,13.05022,12.23402,,-0.021,1.74017,11.01437,41641.96,33524.4,3335.1
DHR,38.35155,25.02788,3.874284829721362,0.0646,2.59688,5.03213,136578.9,24568.0,3600.0
DIS,14.70417,15.06605,1.3395973930130616,0.112467,1.65863,6.78651,176780.0,95716.0,12252.0
DLR,51.37538,51.95505,5.903982954545454,0.088,2.91251,3.66226,64651.25,6112.692,1267.865
DLTR,17.16724,17.92766,,-999.9999,5.42402,5.9765,20242.8,19411.8,1225.3
DOC,165.1494,73.84956,,-999.9999,1.54667,0.10106,11603.83,2822.512,70.514
DOV,27.40527,22.80652,1.8052701986021071,0.126333,3.97553,7.96635,29428.76,8092.571,1097.429
DOW,-99999.99,-37.243,,-0.2373,1.70434,-3.68813,27374.32,39968.0,-2634.0
DPLM,,34.01448,4.207994259770143,0.0808329999999999,,,8851.517,,
DPZ,21.22523,21.2089,2.045216972034716,0.1036999999999999,-99999.99,17.58756,12552.47,4939.994,601.704
DRI,20.70309,18.57029,1.882919138149556,0.098625,10.70352,9.48361,22487.8,12763.8,1109.9
DTE,21.18836,20.90672,2.9446084507042256,0.071,2.54941,7.12561,31408.09,15814.0,1475.0
DUK,21.0505,21.05997,3.143279104477612,0.067,2.03413,6.31814,103489.6,32237.0,4911.0
DVA,15.76657,14.21509,1.102799844840962,0.1289,-99999.99,9.55693,10065.42,13643.07,721.803
DVN,11.46384,12.10069,1.2222919191919193,0.099,1.91791,4.17661,29754.56,17188.0,2642.0
DXCM,31.79367,31.87266,1.5509810218978102,0.2055,9.20381,2.06582,25277.92,4662.0,836.3
EA,75.80643,23.90043,1.8384946153846151,0.13,8.21684,2.66732,50601.3,7306.0,680.0
EBAY,22.38182,17.47445,1.8076954907052043,0.096667,9.29912,4.27043,42819.84,11100.0,1996.0
ECL,37.44489,36.18844,2.8472415420928403,0.1271,7.86452,7.27656,76952.01,16081.2,2075.6
ED,20.33864,20.31018,3.329537704918033,0.061,1.71591,5.65328,42361.07,16917.0,2022.0
EDV,,18.93834,,-999.9999,,,21105.45,,
EFX,34.17445,23.61479,2.0357577586206896,0.1159999999999999,4.75659,5.32269,21943.43,6074.5,660.4
EG,8.86992,7.46914,0.2711121597096189,0.2755,0.88347,37.83688,13555.34,17497.0,1573.0
EIX,6.56347,12.50949,1.1801405660377358,0.106,1.70791,11.55181,29183.57,19317.0,4457.0
EL,-99999.99,32.77728,0.8635439856468028,0.379567,6.57556,-0.42347,26510.97,14668.0,-150.0
ELV,12.61875,10.39603,8.663358333333333,0.012,1.59384,25.11105,69605.21,199125.0,5662.0
EME,28.35498,31.73496,,-999.9999,9.69914,28.22785,35643.87,16986.42,1272.817
EMR,35.4712,26.47549,2.9083398328078824,0.091033,4.00969,4.07852,81304.54,18186.0,2304.0
ENI,,15.76129,0.903225787965616,0.1745,,,73973.6,,
ENT,,9.27331,0.4030121686223381,0.2301,,,3424.787,,
EOG,14.99046,13.38993,2.0135233082706767,0.0665,2.46154,9.11113,73168.06,22667.0,4980.0
EPAM,18.40177,10.82908,1.3254687882496938,0.0817,1.82796,6.73033,6533.936,5457.056,377.678
EQIX,74.96657,64.79752,7.1997244444444455,0.09,7.15788,13.7604,101737.0,9217.0,1350.0
EQR,20.58367,28.21279,,-999.9999,2.07197,2.93728,22826.5,3093.959,1118.667
EQT,17.9453,20.45892,0.5214682425388637,0.392333,1.56251,3.31396,37125.57,8644.211,2039.247
ERIE,24.05622,20.43288,,-999.9999,5.89109,10.6937,13451.57,4067.258,559.335
ES,15.47099,14.91556,2.5280610169491524,0.059,1.63566,4.56144,26523.41,13547.24,1692.371
ESS,24.04262,23.59664,9.07563076923077,0.026,2.90767,10.39945,16121.22,1887.345,669.666
ETN,38.31225,33.33944,2.4460337490829054,0.1363,7.99643,10.45201,155364.8,27448.0,4088.0
ETR,30.01945,30.04503,2.9455911764705887,0.102,3.13907,3.91213,53763.87,12946.69,1758.272
EVRG,23.05113,21.12204,3.6417310344827585,0.0579999999999999,1.90157,3.66186,19438.29,5961.6,855.6
EW,43.81255,30.65216,3.142199897488467,0.09755,4.44614,1.80656,45633.27,6067.6,1060.1
EXC,18.07513,18.27794,3.0463233333333335,0.06,1.75627,2.73525,50585.78,24258.0,2768.0
EXE,13.72851,17.79577,0.147072479338843,1.21,1.33353,7.5427,24893.24,12189.0,1819.0
EXPD,24.34351,24.58079,3.8407484375,0.064,8.23151,5.94943,19260.07,11069.01,810.332
EXPE,23.37938,15.37373,0.7904231362467866,0.1945,21.96759,9.84885,28214.88,14733.0,1294.0
EXPN,,19.63988,1.3607338585077566,0.144333,,,23290.74,,
EXR,30.33876,29.72477,11.889908,0.025,2.18824,4.58852,29400.78,3377.542,972.26
F,-99999.99,11.34594,,-0.0406,1.43297,-2.06353,49095.65,187267.0,-8182.0
FANG,33.03914,14.04068,2.808136,0.05,1.43414,5.63907,52409.73,15026.0,1656.0
FAST,44.87707,44.68104,5.7283384615384625,0.078,14.29395,1.0941,56382.93,8200.4,1258.5
FCIT,,-99999.99,,-999.9999,,,5978.725,,
FCX,43.51072,42.95133,1.3015554545454544,0.33,5.04906,1.52721,95502.05,25915.0,2185.0
FDS,13.73568,12.20965,1.2988989361702128,0.094,3.67455,15.54492,7778.774,2401.061,587.794
FDX,20.08208,21.17894,1.954227450980392,0.108375,3.02318,18.77296,89954.75,91933.0,4478.0
FE,29.41793,20.46279,3.148121538461538,0.065,2.39778,1.76457,30024.67,15090.0,1020.0
FER,,53.40729,,-0.372,,,44254.83,,
FFIV,24.38685,23.33959,4.576390196078432,0.051,4.73632,12.07987,16650.01,3144.048,705.989
FICO,39.69821,26.37897,1.193618552036199,0.221,-99999.99,27.01255,25438.43,2062.86,657.791
FIS,62.38464,7.85167,0.4922677115987461,0.1595,1.67487,0.72598,23297.34,10677.0,381.0
FISV,8.90399,6.51943,0.8395917578879588,0.07765,1.16792,6.33536,30066.47,21193.0,3480.0
FITB,14.201,14.39711,,-999.9999,1.6641,3.53637,45477.4,9903.0,2376.0
FIX,54.49034,59.99413,,-999.9999,22.61735,28.89411,55381.23,9101.641,1022.558
FOXA,15.11637,14.19556,4.980898245614035,0.0285,2.44226,4.15179,25172.13,16578.0,1891.0
FRES,,32.36932,0.475669654665687,0.6805,,,25925.92,,
FRT,23.08668,27.07015,,-999.9999,2.99915,4.6516,9277.23,1278.975,403.957
FSLR,13.88316,13.49779,0.3925602024197301,0.34384,2.21921,14.20786,21194.66,5219.376,1528.229
FTNT,33.23842,30.00186,2.469288888888889,0.1215,48.42859,2.42671,59682.23,6799.6,1853.4
FTV,31.00516,22.09383,2.3504074468085108,0.094,2.92498,1.94258,18542.36,5142.6,647.0
GAW,,41.2424,,-999.9999,,,6215.599,,
GD,22.26008,22.33189,1.69953500761035,0.1314,3.62919,15.44918,93143.89,52550.0,4210.0
GDDY,12.98091,13.33993,,-999.9999,50.7002,6.23531,10793.68,4951.1,875.0
GE,38.26674,50.04317,2.398426551641505,0.2086499999999999,17.57696,8.17995,327052.6,45854.0,8732.0
GEHC,16.01763,16.10772,2.4973209302325583,0.0645,3.20144,4.55186,33268.11,20625.0,2085.0
GEN,18.95123,7.23684,0.6348105263157895,0.114,4.77368,0.96933,11126.04,4727.0,603.0
GEV,54.26851,132.84934,1.1990012635379064,1.108,23.34138,17.8376,260258.2,38068.0,4884.0
GILD,20.94595,17.38912,0.6122929577464788,0.284,7.76732,6.78365,176365.2,29443.0,8510.0
GIS,8.96823,8.16213,,-0.020767,2.0992,4.0978,19612.79,18371.2,2214.3
GL,10.46229,10.10898,,-999.9999,1.95119,14.08774,11562.49,5994.318,1161.238
GLEN,,41.87523,3.5790794871794875,0.1169999999999999,,,65576.7,,
GLW,92.4469,67.38363,3.3441007444168735,0.2014999999999999,11.62009,1.83673,145860.7,15629.0,1596.0
GM,25.4867,7.48622,0.6805654545454546,0.11,1.1349,3.01059,69361.45,185020.0,3193.0
GNRC,77.15867,31.21274,1.95079625,0.16,4.62161,2.68719,12165.85,4209.147,159.554
GOOGL,29.47508,30.09279,1.6310455284552847,0.1845,9.27096,10.8054,3841245.0,402837.0,132170.0
GPC,235.2839,13.78977,,-999.9999,3.37776,0.4614,15103.1,24300.14,65.945
GPN,13.82063,5.33448,0.59272,0.09,0.67289,4.70818,17910.06,8309.289,1140.034
GRMN,29.85288,31.34952,3.248654922279792,0.0965,5.5071,8.59314,49377.11,7245.519,1663.887
GS,17.61511,18.55379,1.297467832167832,0.143,2.43976,51.30368,266591.9,125097.0,16300.0
GSK,,12.91526,1.9829057467029,0.065133,,,87952.61,,
GWW,32.99148,29.68349,4.301955072463768,0.069,14.87815,35.53069,55480.68,17942.0,1706.0
HAL,24.99552,16.61304,,-0.080333,3.00843,1.50787,31477.08,22184.0,1283.0
HAS,-99999.99,18.72548,,-999.9999,24.26043,-2.32568,13092.22,4701.3,-322.4
HBAN,11.93929,11.3599,0.7189810126582278,0.158,1.20349,1.38953,33795.82,10310.0,2087.0
HCA,17.86638,18.4898,1.47942070731317,0.12498,-99999.99,28.38795,113391.9,75600.0,6784.0
HD,23.86796,23.38609,12.99227222222222,0.018,26.39676,14.22744,338231.1,164683.0,14156.0
HDB,32.1265,21.09824,1.3524512820512822,0.156,3.65418,0.83358,132975.3,14420.09,4175.234
HIG,10.52224,11.16794,0.8934352,0.125,2.08528,13.34317,38731.2,28322.0,3815.0
HII,26.23507,26.71572,1.8546143700104132,0.1440499999999999,3.12022,15.37522,15883.57,12484.0,605.0
HLMA,,36.78909,3.5255476760900812,0.10435,,,15500.92,,
HLN,,19.83129,3.050967692307692,0.065,,,32486.52,,
HLT,52.67705,39.87118,3.058379804705179,0.130367,-99999.99,6.1224,73788.98,12039.0,1457.0
HON,34.33945,22.25532,3.368190692395006,0.066075,10.78603,6.87431,150057.6,37442.0,4425.0
HOOD,34.07324,34.435,1.2198016294721927,0.2823,6.91479,2.05792,63129.63,4473.0,1883.0
HPE,-99999.99,10.49806,0.6708025559105432,0.1565,1.33193,-0.20048,32945.79,35743.0,-234.0
HPQ,6.93917,5.97219,1.8375969230769231,0.0325,-99999.99,2.64873,16809.43,56229.0,2509.0
HRL,23.7755,14.42419,2.9740597938144333,0.0484999999999999,1.46451,0.88873,11627.5,12144.66,489.423
HSBA,,12.66729,1.2533556947371545,0.101067,,,228463.1,,
HSIC,23.12411,15.24505,1.7935352941176472,0.085,2.69788,3.27018,8677.248,13184.0,398.0
HST,18.06764,18.78302,,-999.9999,2.08815,1.10197,13684.81,6114.0,765.0
HSX,,13.01815,,-999.9999,,,5187.242,,
HSY,48.55961,35.20043,,-0.0391,9.22342,4.34188,42735.36,11692.58,883.259
HUBB,32.03606,29.38748,3.229393406593407,0.091,7.39968,16.68963,28350.73,5844.6,892.1
HUM,20.1177,11.55357,0.8887361538461539,0.13,1.34763,9.80828,23689.15,129664.0,1188.0
HWDN,,17.95559,2.199550426910686,0.081633,,,4484.446,,
HWM,68.4868,68.76709,2.8875536426621875,0.23815,19.06141,3.70962,101805.3,8252.0,1506.0
IAG,,6.52943,0.5202733067729083,0.1255,,,17495.66,,
IBE,,21.36003,3.0093026204564666,0.07098,,,138400.7,,
IBKR,32.47184,34.00142,2.12508875,0.16,5.97401,2.21515,122018.7,10424.0,984.0
